loan_id,customer_id,loan_type,loan_amount_lakh,interest_rate_pct,tenure_months,emi_amount,disbursement_date,branch_id,loan_status,emi_missed_count,days_past_due,is_npa,collateral_type,processing_fee_pct
LOAN003896,CUST03761,Business Loan,52.56,9.92,120,69225.79,2020-01-11,BR0036,Closed,0,0,0,Property,1.39
LOAN003897,CUST01884,Gold Loan,4.68,10.41,24,21684.49,2021-12-03,BR0010,Restructured,0,0,0,None,0.61
LOAN003898,CUST04386,Education Loan,13.66,9.89,240,13082.8,2024-03-25,BR0024,Active,0,0,0,FD,1.24
LOAN003899,CUST01407,Business Loan,66.9,9.9,36,215553.53,2021-01-12,BR0003,Closed,0,0,0,Gold,1.07
LOAN003900,CUST09970,Gold Loan,6.24,11.18,84,10743.55,2020-07-07,BR0039,NPA,3,108,1,None,1.71
LOAN003901,CUST03335,Education Loan,12.17,11.75,180,14410.88,2020-11-02,BR0043,NPA,3,78,1,Vehicle,0.93
LOAN003902,CUST09066,Home Loan,147.3,11.18,120,204409.51,2023-12-18,BR0012,Active,0,0,0,FD,2.23
LOAN003903,CUST07188,Home Loan,36.56,8.37,60,74779.58,2023-12-19,BR0027,Active,0,0,0,FD,1.87
LOAN003904,CUST05541,Personal Loan,6.24,14.26,180,8419.35,2021-11-07,BR0039,Restructured,0,0,0,Gold,1.87
LOAN003905,CUST08594,Gold Loan,0.54,12.6,180,669.08,2021-04-18,BR0010,Active,1,19,0,Property,1.18
LOAN003906,CUST01517,Auto Loan,7.71,16.48,12,70128.74,2024-08-07,BR0011,Restructured,1,16,0,Vehicle,1.72
LOAN003907,CUST01843,Personal Loan,3.6,17.26,36,12881.61,2022-10-16,BR0018,Active,0,0,0,Gold,1.33
LOAN003908,CUST01133,Gold Loan,1.26,18.46,120,2307.78,2023-02-09,BR0012,NPA,3,105,1,Property,1.74
LOAN003909,CUST07480,Home Loan,127.08,14.18,36,435441.14,2021-10-02,BR0037,Active,0,0,0,Gold,1.96
LOAN003910,CUST08493,Home Loan,21.8,8.4,84,34414.01,2022-03-28,BR0044,Active,0,0,0,FD,0.53
LOAN003911,CUST00138,Home Loan,122.46,15.93,240,169730.4,2020-05-25,BR0020,Active,0,0,0,Property,1.16
LOAN003912,CUST01657,Auto Loan,15.6,10.36,48,39835.88,2020-03-21,BR0035,Active,1,33,0,None,0.8
LOAN003913,CUST09429,Personal Loan,6.26,15.15,120,10157.15,2024-04-28,BR0034,Active,0,0,0,Gold,1.96
LOAN003914,CUST07800,Business Loan,6.88,17.71,36,24772.87,2021-01-12,BR0010,Active,0,0,0,Vehicle,0.57
LOAN003915,CUST02249,Auto Loan,14.62,11.77,180,17330.71,2024-04-21,BR0031,Active,0,0,0,Vehicle,1.26
LOAN003916,CUST03410,Personal Loan,5.86,9.4,24,26878.93,2020-04-15,BR0001,Restructured,0,0,0,Gold,0.93
LOAN003917,CUST03548,Business Loan,65.28,8.11,240,55050.55,2021-10-18,BR0006,Closed,0,0,0,Vehicle,2.32
LOAN003918,CUST06546,Gold Loan,5.84,10.98,12,51609.44,2023-04-04,BR0025,Closed,0,0,0,Gold,1.8
LOAN003919,CUST01378,Personal Loan,6.19,14.19,36,21213.12,2021-11-21,BR0045,NPA,5,165,1,Gold,2.42
LOAN003920,CUST09245,Home Loan,82.2,14.47,48,226566.44,2021-03-12,BR0033,Restructured,0,0,0,Property,1.93
LOAN003921,CUST01297,Gold Loan,6.52,13.72,240,7975.51,2023-04-23,BR0028,Closed,0,0,0,Gold,2.17
LOAN003922,CUST08736,Gold Loan,1.53,17.56,240,2309.59,2020-01-06,BR0024,Closed,1,21,0,Property,1.11
LOAN003923,CUST04408,Business Loan,60.16,8.61,48,148596.82,2023-02-04,BR0022,NPA,6,174,1,FD,2.49
LOAN003924,CUST02609,Education Loan,7.1,11.01,120,9784.27,2023-11-22,BR0025,Active,1,23,0,FD,1.76
LOAN003925,CUST02744,Personal Loan,1.69,8.37,240,1452.75,2022-06-29,BR0036,Active,0,0,0,Vehicle,0.85
LOAN003926,CUST04072,Auto Loan,4.33,16.74,180,6584.26,2022-11-03,BR0012,NPA,3,96,1,FD,1.89
LOAN003927,CUST06543,Gold Loan,0.96,10.79,84,1633.17,2021-09-24,BR0041,Closed,0,0,0,FD,1.24
LOAN003928,CUST03400,Home Loan,133.53,10.95,180,151350.81,2024-07-02,BR0015,Closed,0,0,0,Gold,1.83
LOAN003929,CUST05387,Education Loan,13.3,13.29,24,63411.94,2020-05-13,BR0029,Restructured,0,0,0,Vehicle,1.76
LOAN003930,CUST01975,Auto Loan,7.73,8.83,84,12370.27,2020-06-29,BR0018,Active,0,0,0,FD,1.53
LOAN003931,CUST05651,Business Loan,21.94,12.74,36,73650.07,2021-10-27,BR0034,Active,0,0,0,Gold,0.78
LOAN003932,CUST04505,Business Loan,56.16,11.25,24,262401.94,2024-06-18,BR0010,Active,0,0,0,None,0.75
LOAN003933,CUST03031,Education Loan,4.16,17.96,12,38130.96,2021-11-11,BR0022,Active,0,0,0,Gold,1.36
LOAN003934,CUST00970,Home Loan,77.38,13.72,120,118845.88,2023-04-07,BR0005,NPA,5,185,1,Property,1.17
LOAN003935,CUST00572,Auto Loan,18.43,15.01,240,24282.05,2023-12-06,BR0009,Active,2,68,0,Vehicle,2.48
LOAN003936,CUST04170,Education Loan,9.45,14.97,120,15228.8,2022-10-08,BR0034,Active,0,0,0,Gold,1.92
LOAN003937,CUST07603,Home Loan,75.39,17.01,60,187404.11,2023-07-12,BR0040,Restructured,1,38,0,Vehicle,2.11
LOAN003938,CUST02990,Home Loan,28.45,9.9,36,91666.63,2024-03-11,BR0001,Active,0,0,0,Gold,1.33
LOAN003939,CUST00618,Auto Loan,11.84,15.59,60,28535.29,2020-04-08,BR0038,NPA,3,93,1,Property,2.01
LOAN003940,CUST08410,Gold Loan,7.59,17.76,84,15845.95,2020-01-27,BR0021,Closed,0,0,0,Vehicle,0.99
LOAN003941,CUST09306,Gold Loan,5.52,8.31,12,48096.77,2023-11-17,BR0002,Active,0,0,0,Vehicle,1.85
LOAN003942,CUST08940,Home Loan,121.17,17.75,240,184675.08,2021-10-31,BR0013,NPA,6,222,1,None,0.76
LOAN003943,CUST06290,Gold Loan,7.85,10.12,24,36267.26,2022-01-31,BR0021,Active,0,0,0,Gold,1.78
LOAN003944,CUST03271,Personal Loan,8.94,14.35,180,12116.72,2024-03-18,BR0014,Closed,0,0,0,Gold,2.41
LOAN003945,CUST05099,Home Loan,104.39,11.77,120,148384.65,2022-04-09,BR0038,Active,0,0,0,Vehicle,2.33
LOAN003946,CUST06820,Home Loan,137.68,10.49,180,152105.98,2022-08-23,BR0030,Active,0,0,0,FD,1.58
LOAN003947,CUST00763,Auto Loan,13.5,17.64,240,20461.45,2022-07-22,BR0002,Restructured,0,0,0,FD,1.81
LOAN003948,CUST02478,Auto Loan,7.81,13.27,180,10020.7,2020-10-28,BR0036,Closed,0,0,0,FD,1.06
LOAN003949,CUST00551,Home Loan,130.43,8.05,240,109503.1,2024-07-24,BR0013,Closed,2,48,0,FD,0.57
LOAN003950,CUST03157,Personal Loan,1.04,13.21,12,9299.25,2024-09-25,BR0022,Closed,0,0,0,Gold,0.6
LOAN003951,CUST09248,Business Loan,75.85,10.53,240,75880.03,2024-08-16,BR0043,Closed,0,0,0,Vehicle,1.27
LOAN003952,CUST04348,Business Loan,36.3,9.12,36,115635.87,2023-10-02,BR0012,Closed,0,0,0,Vehicle,0.85
LOAN003953,CUST05857,Education Loan,3.53,18.1,180,5710.2,2022-11-06,BR0028,Active,0,0,0,Vehicle,1.47
LOAN003954,CUST07116,Personal Loan,2.24,16.85,60,5548.93,2020-10-12,BR0004,NPA,5,200,1,FD,1.12
LOAN003955,CUST03075,Education Loan,3.86,12.86,48,10328.61,2021-07-12,BR0028,Closed,0,0,0,None,1.9
LOAN003956,CUST09368,Personal Loan,2.64,16.95,180,4053.62,2024-07-20,BR0029,NPA,4,136,1,Property,1.88
LOAN003957,CUST04336,Auto Loan,16.96,17.4,24,84180.41,2022-10-16,BR0007,Active,0,0,0,None,1.0
LOAN003958,CUST07904,Home Loan,32.31,13.17,60,73796.66,2023-07-19,BR0048,Active,0,0,0,Property,2.14
LOAN003959,CUST02449,Business Loan,70.16,8.58,60,144214.65,2023-03-06,BR0026,Active,0,0,0,Property,0.94
LOAN003960,CUST06547,Education Loan,6.35,14.93,84,12228.51,2023-06-12,BR0030,Restructured,0,0,0,Gold,1.29
LOAN003961,CUST09957,Gold Loan,0.53,8.65,36,1676.77,2024-05-28,BR0016,Active,0,0,0,Vehicle,1.47
LOAN003962,CUST01657,Gold Loan,4.4,13.33,240,5258.72,2022-01-14,BR0035,Active,1,18,0,None,2.27
LOAN003963,CUST02854,Auto Loan,15.03,16.21,180,22295.03,2020-02-26,BR0011,Active,0,0,0,Property,2.16
LOAN003964,CUST05061,Gold Loan,2.84,14.5,12,25566.4,2022-03-18,BR0042,Active,2,74,0,None,2.06
LOAN003965,CUST09261,Gold Loan,1.74,8.97,24,7946.75,2020-03-13,BR0024,Active,0,0,0,FD,0.81
LOAN003966,CUST06166,Business Loan,24.17,12.01,180,29023.61,2023-04-16,BR0024,NPA,3,117,1,Property,2.43
LOAN003967,CUST05460,Home Loan,59.33,14.96,84,114354.54,2024-02-04,BR0014,Restructured,2,56,0,Vehicle,1.98
LOAN003968,CUST01021,Gold Loan,2.29,13.47,240,2759.95,2021-01-08,BR0003,Restructured,0,0,0,Property,1.06
LOAN003969,CUST08152,Personal Loan,3.61,16.14,240,5060.39,2022-11-01,BR0036,Closed,0,0,0,Gold,2.03
LOAN003970,CUST05154,Personal Loan,2.68,18.35,84,5687.89,2024-01-04,BR0042,Closed,2,46,0,FD,2.04
LOAN003971,CUST04185,Education Loan,2.2,13.88,180,2912.12,2020-03-06,BR0039,Active,2,66,0,FD,1.45
LOAN003972,CUST08743,Personal Loan,3.76,15.49,24,18318.64,2024-06-11,BR0018,Restructured,0,0,0,Gold,2.14
LOAN003973,CUST08024,Auto Loan,19.84,16.98,24,98074.39,2022-01-10,BR0048,Active,0,0,0,None,0.51
LOAN003974,CUST05489,Education Loan,2.62,8.21,60,5338.79,2024-09-14,BR0019,Active,0,0,0,Gold,2.05
LOAN003975,CUST06689,Education Loan,13.6,13.24,24,64810.3,2024-04-15,BR0018,Restructured,0,0,0,Gold,0.5
LOAN003976,CUST08048,Home Loan,47.77,11.21,240,49992.17,2023-12-17,BR0050,Active,0,0,0,FD,1.4
LOAN003977,CUST07600,Personal Loan,8.34,11.31,180,9642.2,2024-02-28,BR0026,NPA,3,102,1,Gold,0.82
LOAN003978,CUST04896,Auto Loan,14.26,15.23,84,27701.51,2024-10-01,BR0026,Restructured,0,0,0,None,1.59
LOAN003979,CUST07069,Auto Loan,4.55,9.78,24,20949.77,2023-04-02,BR0026,Closed,0,0,0,FD,0.84
LOAN003980,CUST08711,Business Loan,79.04,16.55,60,194527.36,2021-04-14,BR0020,Restructured,0,0,0,None,1.86
LOAN003981,CUST09609,Home Loan,56.05,13.29,60,128364.6,2023-03-16,BR0014,Active,2,46,0,Property,1.16
LOAN003982,CUST05396,Gold Loan,4.39,9.99,60,9325.29,2023-02-10,BR0031,Active,0,0,0,Property,0.51
LOAN003983,CUST05357,Auto Loan,19.15,13.55,12,171537.12,2022-08-07,BR0015,Closed,0,0,0,Gold,2.33
LOAN003984,CUST04541,Gold Loan,3.18,9.27,12,27849.4,2022-08-06,BR0050,Active,0,0,0,FD,1.78
LOAN003985,CUST05687,Business Loan,15.55,13.96,84,29106.37,2020-11-12,BR0003,Active,0,0,0,FD,1.74
LOAN003986,CUST01409,Auto Loan,8.6,9.69,24,39561.7,2024-04-02,BR0011,Restructured,2,34,0,Property,1.47
LOAN003987,CUST01315,Business Loan,41.88,13.07,120,62704.37,2020-03-18,BR0037,Active,0,0,0,Vehicle,1.18
LOAN003988,CUST02486,Personal Loan,8.85,11.99,120,12692.06,2024-04-14,BR0012,Closed,0,0,0,None,1.52
LOAN003989,CUST05045,Education Loan,3.95,11.03,120,5447.84,2023-07-03,BR0023,NPA,3,72,1,FD,1.33
LOAN003990,CUST00771,Home Loan,29.06,13.48,84,53627.13,2022-01-24,BR0006,Active,2,56,0,Property,1.45
LOAN003991,CUST00254,Business Loan,35.3,15.19,120,57362.67,2022-01-02,BR0020,NPA,3,105,1,None,0.82
LOAN003992,CUST09470,Auto Loan,4.85,10.35,48,12382.53,2024-06-12,BR0025,Closed,0,0,0,None,1.14
LOAN003993,CUST08890,Education Loan,3.89,13.16,12,34773.63,2020-07-17,BR0036,Active,0,0,0,Gold,1.53
LOAN003994,CUST05950,Education Loan,14.66,17.94,48,43017.8,2022-07-08,BR0020,NPA,3,63,1,Gold,2.03
LOAN003995,CUST02677,Gold Loan,2.3,9.83,84,3798.1,2022-09-21,BR0021,Active,0,0,0,Vehicle,0.65
LOAN003996,CUST00131,Business Loan,38.45,17.89,24,191753.87,2023-05-29,BR0049,Active,0,0,0,Vehicle,2.4
LOAN003997,CUST02357,Gold Loan,2.38,15.15,240,3160.37,2022-06-13,BR0020,Active,0,0,0,Vehicle,1.9
LOAN003998,CUST03281,Education Loan,12.42,10.99,60,26997.9,2024-01-08,BR0035,Active,0,0,0,Gold,2.39
LOAN003999,CUST07074,Education Loan,2.13,17.57,12,19484.28,2021-11-16,BR0012,Active,2,50,0,Vehicle,1.77
LOAN004000,CUST05064,Education Loan,10.65,14.08,120,16587.14,2023-03-27,BR0011,Active,1,15,0,Gold,1.56
LOAN004001,CUST02519,Home Loan,76.44,7.65,240,62282.54,2022-12-31,BR0001,Active,0,0,0,Gold,1.93
LOAN004002,CUST09164,Home Loan,20.52,15.73,120,34029.22,2022-08-11,BR0007,Active,0,0,0,Vehicle,0.8
LOAN004003,CUST09516,Business Loan,19.19,12.28,48,50798.85,2022-09-23,BR0036,Active,0,0,0,Gold,1.27
LOAN004004,CUST05298,Home Loan,131.03,11.57,36,432520.96,2022-04-06,BR0013,Restructured,0,0,0,FD,1.01
LOAN004005,CUST07422,Personal Loan,6.81,10.83,60,14748.92,2023-10-15,BR0012,Active,0,0,0,Property,2.24
LOAN004006,CUST06511,Business Loan,14.3,7.79,180,13493.03,2022-10-23,BR0016,NPA,5,110,1,Gold,1.3
LOAN004007,CUST06206,Business Loan,53.03,17.24,120,92972.94,2021-05-06,BR0029,NPA,5,165,1,Property,2.06
LOAN004008,CUST04197,Gold Loan,4.2,12.03,12,37322.39,2022-12-31,BR0001,Active,1,34,0,Vehicle,0.77
LOAN004009,CUST03108,Business Loan,24.12,11.21,48,62585.67,2021-02-20,BR0014,Active,0,0,0,None,0.78
LOAN004010,CUST04161,Business Loan,61.84,12.48,120,90446.81,2022-10-11,BR0049,Active,1,35,0,None,1.42
LOAN004011,CUST04456,Home Loan,92.64,9.56,84,151695.45,2023-07-06,BR0037,Active,0,0,0,Vehicle,2.48
LOAN004012,CUST09920,Auto Loan,11.75,13.88,12,105433.53,2024-11-04,BR0011,NPA,4,128,1,Property,0.56
LOAN004013,CUST09987,Personal Loan,6.31,8.89,24,28795.24,2023-11-23,BR0024,Active,0,0,0,None,1.96
LOAN004014,CUST05675,Auto Loan,4.41,9.5,180,4605.03,2021-05-21,BR0029,Active,0,0,0,Gold,1.88
LOAN004015,CUST00285,Education Loan,5.27,10.97,60,11450.37,2020-12-01,BR0003,Active,2,80,0,Vehicle,1.55
LOAN004016,CUST04770,Gold Loan,7.37,17.26,180,11478.54,2023-11-05,BR0004,Active,0,0,0,None,1.57
LOAN004017,CUST04606,Gold Loan,4.22,17.91,48,12376.41,2020-11-07,BR0040,Active,0,0,0,FD,0.84
LOAN004018,CUST01021,Gold Loan,4.14,13.96,84,7749.22,2023-05-30,BR0003,Restructured,0,0,0,None,2.12
LOAN004019,CUST02769,Gold Loan,1.88,10.95,84,3214.08,2023-09-15,BR0025,Active,0,0,0,Gold,0.71
LOAN004020,CUST09420,Auto Loan,18.81,11.23,24,87870.34,2024-01-22,BR0047,Active,0,0,0,None,0.75
LOAN004021,CUST09024,Auto Loan,14.33,11.36,240,15143.94,2023-10-04,BR0021,NPA,3,48,1,FD,1.2
LOAN004022,CUST08225,Auto Loan,13.03,13.46,36,44192.47,2024-04-21,BR0018,Closed,0,0,0,Property,2.06
LOAN004023,CUST03508,Home Loan,57.85,13.15,84,105712.84,2022-11-05,BR0029,Restructured,0,0,0,None,0.57
LOAN004024,CUST09174,Business Loan,36.74,12.83,36,123490.96,2022-08-17,BR0015,Closed,0,0,0,None,2.45
LOAN004025,CUST00791,Personal Loan,5.57,11.98,180,6677.77,2023-12-20,BR0013,Active,2,38,0,Gold,1.41
LOAN004026,CUST07213,Education Loan,4.67,8.73,120,5847.74,2023-08-18,BR0023,Restructured,0,0,0,Vehicle,2.0
LOAN004027,CUST03418,Auto Loan,3.39,10.55,36,11026.32,2020-11-29,BR0008,Active,0,0,0,None,2.08
LOAN004028,CUST05699,Home Loan,89.69,14.27,84,169419.75,2021-09-30,BR0033,Restructured,2,46,0,FD,0.87
LOAN004029,CUST03779,Auto Loan,13.22,11.46,120,18556.48,2021-10-07,BR0028,Active,0,0,0,FD,2.02
LOAN004030,CUST03319,Auto Loan,3.26,8.75,120,4085.65,2024-10-05,BR0027,Closed,0,0,0,Gold,1.22
LOAN004031,CUST06713,Education Loan,11.35,16.69,12,103350.49,2022-01-23,BR0044,NPA,5,90,1,Property,1.36
LOAN004032,CUST08470,Auto Loan,10.83,16.55,60,26653.99,2022-01-19,BR0045,Active,0,0,0,Property,1.05
LOAN004033,CUST02532,Auto Loan,16.03,12.19,36,53388.12,2020-09-18,BR0005,Active,0,0,0,FD,0.78
LOAN004034,CUST06901,Personal Loan,2.38,11.69,12,21111.51,2022-01-30,BR0042,Active,0,0,0,FD,1.25
LOAN004035,CUST00200,Personal Loan,8.62,14.99,24,41791.4,2023-04-25,BR0031,Active,0,0,0,Gold,1.3
LOAN004036,CUST09698,Business Loan,48.08,14.85,180,66798.87,2021-06-16,BR0003,Closed,0,0,0,None,0.68
LOAN004037,CUST00271,Gold Loan,7.02,8.86,84,11244.72,2024-12-28,BR0038,Active,0,0,0,Gold,0.96
LOAN004038,CUST05803,Auto Loan,15.35,17.9,36,55416.95,2021-05-17,BR0040,Restructured,1,25,0,FD,1.23
LOAN004039,CUST05818,Home Loan,118.12,7.57,24,531911.24,2023-10-27,BR0012,Active,0,0,0,FD,1.48
LOAN004040,CUST02243,Education Loan,7.38,8.35,84,11631.74,2020-03-24,BR0038,Restructured,0,0,0,Gold,1.25
LOAN004041,CUST01917,Personal Loan,1.21,13.74,12,10849.44,2022-08-09,BR0003,Active,0,0,0,Vehicle,0.93
LOAN004042,CUST00323,Gold Loan,2.53,8.0,60,5129.93,2023-08-21,BR0032,NPA,3,102,1,Gold,1.4
LOAN004043,CUST07534,Gold Loan,4.18,14.32,12,37593.98,2020-08-21,BR0012,Active,0,0,0,Gold,1.51
LOAN004044,CUST01170,Education Loan,10.63,15.88,36,37308.98,2024-10-07,BR0043,Restructured,0,0,0,None,1.21
LOAN004045,CUST05719,Business Loan,51.9,7.87,180,49209.63,2021-01-21,BR0037,Restructured,0,0,0,Gold,1.88
LOAN004046,CUST03955,Business Loan,14.9,17.07,36,53174.49,2023-02-11,BR0038,Restructured,2,50,0,Gold,0.89
LOAN004047,CUST04638,Auto Loan,7.99,13.76,36,27214.88,2023-10-27,BR0047,Active,0,0,0,None,1.3
LOAN004048,CUST06987,Business Loan,33.47,14.37,180,45408.47,2021-08-30,BR0030,NPA,4,108,1,FD,1.23
LOAN004049,CUST07492,Business Loan,54.84,11.16,84,94361.43,2023-11-19,BR0028,Active,0,0,0,FD,0.65
LOAN004050,CUST09463,Gold Loan,3.75,9.22,48,9371.11,2021-09-08,BR0019,Active,0,0,0,None,1.24
LOAN004051,CUST05825,Home Loan,24.62,10.64,84,41690.86,2023-05-03,BR0046,Closed,0,0,0,Vehicle,1.08
LOAN004052,CUST08004,Auto Loan,18.57,7.99,120,22520.72,2023-11-11,BR0016,Closed,0,0,0,Gold,2.38
LOAN004053,CUST00741,Personal Loan,3.78,11.41,48,9845.04,2024-03-05,BR0014,Closed,0,0,0,Gold,0.75
LOAN004054,CUST04158,Home Loan,27.1,10.79,24,126043.19,2022-08-23,BR0008,Active,0,0,0,Vehicle,1.92
LOAN004055,CUST08770,Gold Loan,5.71,8.8,240,5064.22,2023-12-22,BR0041,Active,1,28,0,FD,0.9
LOAN004056,CUST07111,Personal Loan,6.4,11.07,120,8841.38,2023-01-02,BR0006,Restructured,0,0,0,Property,1.01
LOAN004057,CUST07207,Personal Loan,4.08,13.19,24,19433.5,2023-12-23,BR0005,NPA,5,90,1,Property,0.57
LOAN004058,CUST00473,Home Loan,142.14,15.4,84,277483.69,2023-08-14,BR0019,Restructured,2,74,0,None,1.11
LOAN004059,CUST07994,Business Loan,64.55,9.55,120,83702.93,2024-04-02,BR0008,NPA,4,108,1,None,0.54
LOAN004060,CUST08999,Auto Loan,11.96,16.86,240,17415.72,2024-06-27,BR0001,Restructured,0,0,0,Property,2.36
LOAN004061,CUST05621,Auto Loan,18.84,15.26,48,52681.77,2024-03-31,BR0047,Active,0,0,0,Vehicle,2.02
LOAN004062,CUST05576,Education Loan,12.58,10.38,240,12458.38,2024-07-03,BR0046,Active,0,0,0,Gold,1.64
LOAN004063,CUST08810,Gold Loan,6.28,12.39,48,16658.16,2024-05-08,BR0026,NPA,2,78,1,FD,1.63
LOAN004064,CUST04861,Business Loan,42.94,15.94,48,121561.26,2024-03-30,BR0017,Restructured,0,0,0,Vehicle,1.51
LOAN004065,CUST00146,Home Loan,22.71,11.09,12,200810.1,2024-10-17,BR0023,Closed,1,23,0,FD,0.65
LOAN004066,CUST01848,Education Loan,9.33,12.72,24,44233.91,2023-10-24,BR0001,Active,0,0,0,None,2.19
LOAN004067,CUST00828,Business Loan,16.96,16.47,48,48474.34,2024-12-03,BR0037,Closed,2,66,0,Property,2.37
LOAN004068,CUST01157,Auto Loan,6.24,9.77,120,8166.94,2024-09-11,BR0035,Restructured,0,0,0,None,1.04
LOAN004069,CUST02552,Auto Loan,5.41,7.59,24,24366.93,2021-09-04,BR0039,Active,0,0,0,Gold,1.56
LOAN004070,CUST04316,Personal Loan,2.1,12.5,120,3073.9,2024-11-17,BR0002,Active,0,0,0,FD,0.62
LOAN004071,CUST05980,Personal Loan,6.74,18.16,180,10931.92,2023-08-31,BR0020,NPA,3,87,1,None,2.02
LOAN004072,CUST09161,Business Loan,28.76,10.0,48,72942.79,2022-03-05,BR0037,Closed,0,0,0,Gold,1.88
LOAN004073,CUST05025,Gold Loan,3.86,7.58,240,3128.5,2023-09-26,BR0020,Closed,1,36,0,None,2.49
LOAN004074,CUST09220,Personal Loan,0.61,10.23,180,664.12,2021-09-01,BR0010,Closed,0,0,0,FD,1.42
LOAN004075,CUST06107,Education Loan,2.12,10.18,48,5395.21,2021-12-31,BR0050,Closed,0,0,0,Vehicle,1.41
LOAN004076,CUST03023,Business Loan,74.28,17.8,60,187815.15,2021-07-15,BR0015,NPA,3,54,1,Vehicle,0.58
LOAN004077,CUST00846,Personal Loan,2.02,10.89,60,4380.9,2022-08-09,BR0002,Restructured,0,0,0,FD,0.61
LOAN004078,CUST02844,Education Loan,8.7,9.62,48,21907.02,2021-06-07,BR0027,Restructured,2,48,0,Property,1.37
LOAN004079,CUST02584,Auto Loan,10.28,16.58,180,15515.98,2022-06-04,BR0041,Active,0,0,0,FD,2.06
LOAN004080,CUST03827,Business Loan,57.3,12.0,12,509103.56,2024-12-01,BR0007,Active,0,0,0,FD,0.61
LOAN004081,CUST00801,Personal Loan,8.52,10.11,24,39358.75,2020-03-04,BR0013,Closed,0,0,0,None,0.75
LOAN004082,CUST09632,Home Loan,145.81,7.55,120,173459.79,2020-05-19,BR0007,Active,0,0,0,Gold,0.8
LOAN004083,CUST03625,Gold Loan,5.62,11.9,24,26429.05,2023-09-26,BR0021,Closed,0,0,0,Vehicle,1.53
LOAN004084,CUST02653,Personal Loan,8.17,7.83,48,19880.23,2022-01-06,BR0040,Restructured,2,38,0,FD,0.6
LOAN004085,CUST05452,Gold Loan,4.61,10.63,12,40664.42,2021-01-21,BR0047,Active,0,0,0,Property,1.42
LOAN004086,CUST07151,Home Loan,51.94,10.81,120,70989.88,2024-05-29,BR0041,Active,0,0,0,Property,1.59
LOAN004087,CUST00206,Personal Loan,0.87,7.71,240,712.08,2021-03-23,BR0044,Active,0,0,0,Vehicle,1.22
LOAN004088,CUST06266,Home Loan,45.26,13.02,120,67631.44,2020-11-20,BR0028,Active,0,0,0,None,0.74
LOAN004089,CUST08415,Education Loan,9.08,14.06,48,24839.78,2021-01-09,BR0030,Closed,1,21,0,Gold,2.01
LOAN004090,CUST01834,Business Loan,24.39,11.15,180,27951.76,2020-06-02,BR0047,Active,1,29,0,Property,2.45
LOAN004091,CUST01666,Personal Loan,6.4,15.49,48,17971.05,2022-12-19,BR0002,Restructured,2,78,0,Gold,1.1
LOAN004092,CUST02813,Home Loan,42.08,13.44,12,376716.32,2020-12-30,BR0029,Active,0,0,0,Vehicle,1.01
LOAN004093,CUST08567,Personal Loan,7.58,10.74,12,66901.4,2024-06-29,BR0001,Closed,0,0,0,FD,2.09
LOAN004094,CUST08446,Auto Loan,8.2,7.75,120,9840.87,2024-06-21,BR0015,Active,0,0,0,Vehicle,2.15
LOAN004095,CUST07906,Personal Loan,2.37,8.8,48,5875.27,2020-05-04,BR0031,Active,1,39,0,Gold,1.98
LOAN004096,CUST01424,Business Loan,79.3,9.1,60,164998.89,2021-08-15,BR0038,NPA,3,63,1,Vehicle,0.89
LOAN004097,CUST03290,Business Loan,19.35,13.97,60,44993.98,2020-10-11,BR0036,Active,0,0,0,FD,1.73
LOAN004098,CUST03654,Business Loan,40.5,13.54,36,137516.28,2023-07-21,BR0009,NPA,5,190,1,FD,1.56
LOAN004099,CUST06256,Education Loan,11.31,12.66,84,20366.63,2020-12-05,BR0031,Active,0,0,0,None,2.47
LOAN004100,CUST04845,Gold Loan,1.81,11.77,120,2572.82,2020-11-07,BR0027,Active,2,62,0,None,2.35
LOAN004101,CUST02490,Home Loan,30.41,8.62,48,75127.9,2024-04-18,BR0016,Restructured,0,0,0,Gold,0.5
LOAN004102,CUST08790,Personal Loan,0.88,13.3,180,1130.84,2020-12-07,BR0027,Restructured,0,0,0,Property,1.88
LOAN004103,CUST06862,Personal Loan,1.31,13.87,84,2445.54,2020-02-10,BR0043,NPA,6,186,1,Vehicle,1.56
LOAN004104,CUST00558,Education Loan,6.86,10.22,120,9149.32,2022-05-11,BR0046,NPA,3,66,1,Property,0.52
LOAN004105,CUST07669,Education Loan,14.08,10.0,180,15130.44,2023-06-07,BR0044,Active,0,0,0,Property,0.68
LOAN004106,CUST00142,Personal Loan,9.16,11.15,24,42756.6,2022-07-09,BR0044,Active,2,42,0,None,0.71
LOAN004107,CUST00143,Education Loan,8.67,9.52,180,9063.89,2020-09-22,BR0013,Active,0,0,0,Gold,0.9
LOAN004108,CUST05317,Personal Loan,2.84,15.46,120,4662.24,2022-06-01,BR0012,Closed,0,0,0,None,2.22
LOAN004109,CUST07413,Gold Loan,4.56,9.59,120,5923.02,2022-08-10,BR0034,Active,2,70,0,Property,2.23
LOAN004110,CUST04354,Personal Loan,1.83,14.04,60,4261.89,2020-09-09,BR0013,Active,0,0,0,FD,2.33
LOAN004111,CUST08022,Education Loan,5.91,13.6,180,7712.41,2024-12-02,BR0035,Closed,0,0,0,Vehicle,0.91
LOAN004112,CUST08020,Education Loan,6.06,12.46,60,13621.42,2020-04-07,BR0020,Restructured,0,0,0,Vehicle,0.58
