month,branch_id,target_collection_lakh,actual_collection_lakh,collection_efficiency_pct,npa_amount_lakh,npa_pct,new_loans_disbursed,loan_disbursement_amount_lakh
2022-01,BR0007,261.49,200.62,76.72,11.98,4.58,66,271.09
2022-02,BR0007,346.93,328.47,94.68,12.88,3.71,60,94.49
2022-03,BR0007,166.82,126.58,75.88,14.9,8.93,52,184.89
2022-04,BR0007,453.36,323.38,71.33,32.29,7.12,76,238.06
2022-05,BR0007,184.05,153.06,83.16,11.97,6.5,72,23.25
2022-06,BR0007,412.68,299.44,72.56,42.69,10.34,35,81.88
2022-07,BR0007,450.49,320.25,71.09,53.47,11.87,53,231.5
2022-08,BR0007,60.3,48.5,80.43,7.53,12.49,31,94.63
2022-09,BR0007,143.18,105.61,73.76,16.57,11.57,62,73.01
2022-10,BR0007,420.96,339.5,80.65,62.03,14.74,14,50.54
2022-11,BR0007,209.87,185.63,88.45,5.24,2.5,22,345.29
2022-12,BR0007,238.53,184.74,77.45,29.98,12.57,29,22.71
2023-01,BR0007,81.27,66.23,81.49,2.56,3.15,46,40.64
2023-02,BR0007,270.66,215.26,79.53,12.62,4.66,66,80.34
2023-03,BR0007,484.11,411.2,84.94,38.55,7.96,30,47.99
2023-04,BR0007,114.87,109.21,95.07,3.07,2.67,43,28.84
2023-05,BR0007,172.28,156.45,90.81,15.88,9.22,69,312.92
2023-06,BR0007,459.21,399.15,86.92,10.88,2.37,70,393.1
2023-07,BR0007,95.75,67.53,70.53,12.99,13.57,35,299.26
2023-08,BR0007,314.59,242.01,76.93,27.89,8.87,76,53.58
2023-09,BR0007,226.16,174.08,76.97,10.9,4.82,71,373.43
2023-10,BR0007,282.28,199.6,70.71,40.72,14.43,7,175.38
2023-11,BR0007,340.24,308.36,90.63,44.11,12.96,43,301.65
2023-12,BR0007,232.07,196.1,84.5,20.77,8.95,52,385.61
2024-01,BR0007,202.79,188.68,93.04,21.3,10.5,7,358.51
2024-02,BR0007,121.34,109.8,90.49,11.57,9.54,20,173.25
2024-03,BR0007,315.66,316.7,100.33,26.04,8.25,69,208.04
2024-04,BR0007,309.97,236.97,76.45,20.62,6.65,19,133.38
2024-05,BR0007,333.82,317.13,95.0,18.23,5.46,60,264.0
2024-06,BR0007,436.8,397.88,91.09,57.56,13.18,13,223.45
2024-07,BR0007,125.73,120.8,96.08,5.16,4.1,16,31.32
2024-08,BR0007,121.46,109.27,89.96,4.61,3.8,53,36.7
2024-09,BR0007,185.85,152.14,81.86,15.29,8.23,70,353.05
2024-10,BR0007,104.41,106.11,101.63,13.83,13.25,68,376.89
2024-11,BR0007,70.08,52.43,74.82,6.81,9.72,16,134.36
2024-12,BR0007,199.59,191.41,95.9,11.93,5.98,11,382.1
2020-01,BR0008,449.41,322.63,71.79,30.17,6.71,7,286.39
2020-02,BR0008,217.25,159.79,73.55,28.94,13.32,52,188.4
2020-03,BR0008,306.41,221.41,72.26,27.8,9.07,6,160.17
2020-04,BR0008,50.24,39.07,77.76,3.8,7.56,71,269.08
2020-05,BR0008,168.28,132.44,78.7,21.3,12.66,10,35.2
2020-06,BR0008,366.22,317.0,86.56,20.01,5.46,9,248.07
2020-07,BR0008,373.58,299.76,80.24,43.4,11.62,65,351.21
2020-08,BR0008,378.98,284.01,74.94,37.01,9.77,23,210.88
2020-09,BR0008,106.15,79.3,74.71,3.37,3.17,22,103.95
2020-10,BR0008,101.05,95.98,94.98,5.32,5.26,33,322.41
2020-11,BR0008,496.57,480.58,96.78,16.68,3.36,23,230.87
2020-12,BR0008,194.82,168.68,86.58,4.34,2.23,55,281.37
2021-01,BR0008,297.3,284.25,95.61,14.14,4.76,19,132.64
2021-02,BR0008,390.21,387.83,99.39,20.35,5.22,50,328.63
2021-03,BR0008,186.61,175.79,94.2,27.68,14.83,29,312.95
2021-04,BR0008,471.07,340.25,72.23,46.73,9.92,40,360.35
2021-05,BR0008,157.6,135.54,86.0,18.65,11.83,49,367.93
2021-06,BR0008,143.98,124.34,86.36,17.02,11.82,63,214.07
2021-07,BR0008,173.45,125.87,72.57,10.93,6.3,52,234.03
2021-08,BR0008,321.83,301.81,93.78,24.89,7.73,58,211.14
2021-09,BR0008,441.66,424.39,96.09,50.1,11.34,30,220.96
2021-10,BR0008,220.43,171.89,77.98,24.92,11.31,70,147.34
2021-11,BR0008,477.74,455.96,95.44,30.02,6.28,27,355.81
2021-12,BR0008,435.01,426.27,97.99,28.0,6.44,28,342.65
2022-01,BR0008,254.46,217.44,85.45,14.96,5.88,76,372.61
2022-02,BR0008,236.95,169.87,71.69,22.88,9.66,37,56.49
2022-03,BR0008,189.19,163.65,86.5,19.04,10.06,37,119.93
2022-04,BR0008,92.8,83.71,90.21,11.03,11.89,26,389.45
2022-05,BR0008,429.48,366.35,85.3,46.3,10.78,33,253.05
2022-06,BR0008,194.03,153.63,79.18,5.95,3.07,48,330.87
2022-07,BR0008,271.6,231.84,85.36,39.05,14.38,38,392.75
2022-08,BR0008,420.7,355.41,84.48,36.23,8.61,68,27.81
2022-09,BR0008,336.27,325.31,96.74,13.31,3.96,17,286.34
2022-10,BR0008,335.29,317.96,94.83,23.99,7.16,15,167.42
2022-11,BR0008,63.09,49.07,77.78,1.33,2.11,17,88.9
2022-12,BR0008,486.05,369.2,75.96,45.55,9.37,66,29.53
2023-01,BR0008,442.54,376.42,85.06,27.98,6.32,6,85.82
2023-02,BR0008,236.67,177.01,74.79,14.18,5.99,10,223.01
2023-03,BR0008,291.64,242.56,83.17,23.54,8.07,11,213.92
2023-04,BR0008,280.71,249.89,89.02,27.03,9.63,51,329.58
2023-05,BR0008,130.42,96.48,73.98,5.82,4.46,68,158.45
2023-06,BR0008,113.69,105.35,92.66,4.33,3.81,48,129.66
2023-07,BR0008,285.33,235.74,82.62,33.56,11.76,17,193.99
2023-08,BR0008,127.72,93.29,73.04,2.83,2.22,15,98.98
2023-09,BR0008,183.13,179.85,98.21,26.43,14.43,24,183.5
2023-10,BR0008,407.73,298.78,73.28,49.77,12.21,36,106.24
2023-11,BR0008,324.04,229.45,70.81,14.42,4.45,34,86.42
2023-12,BR0008,263.79,254.24,96.38,9.49,3.6,50,131.61
2024-01,BR0008,138.47,134.47,97.11,7.61,5.5,58,312.98
2024-02,BR0008,378.46,314.27,83.04,11.24,2.97,31,224.48
2024-03,BR0008,217.84,221.26,101.57,6.08,2.79,19,227.51
2024-04,BR0008,315.66,252.97,80.14,22.91,7.26,48,310.1
2024-05,BR0008,267.38,231.5,86.58,25.1,9.39,12,380.58
2024-06,BR0008,59.65,58.97,98.86,1.27,2.13,46,277.79
2024-07,BR0008,57.25,58.21,101.68,7.17,12.52,6,207.58
2024-08,BR0008,163.46,134.95,82.56,10.46,6.4,21,375.63
2024-09,BR0008,466.95,331.44,70.98,10.77,2.31,19,67.45
2024-10,BR0008,483.18,402.34,83.27,17.11,3.54,46,281.24
2024-11,BR0008,291.04,244.79,84.11,30.84,10.6,23,91.21
2024-12,BR0008,151.39,115.42,76.24,5.21,3.44,39,302.73
2020-01,BR0009,71.6,63.06,88.07,8.5,11.87,26,133.63
2020-02,BR0009,473.17,482.44,101.96,35.78,7.56,68,65.27
2020-03,BR0009,76.21,76.46,100.33,9.9,12.99,28,128.29
2020-04,BR0009,430.76,424.51,98.55,11.99,2.78,5,377.6
2020-05,BR0009,409.02,414.01,101.22,19.71,4.82,41,59.45
2020-06,BR0009,356.01,335.04,94.11,24.98,7.02,58,100.53
2020-07,BR0009,382.39,318.45,83.28,17.13,4.48,77,353.08
2020-08,BR0009,315.39,287.38,91.12,29.07,9.22,18,57.31
2020-09,BR0009,76.36,70.78,92.69,5.84,7.65,67,142.89
2020-10,BR0009,231.94,175.67,75.74,19.85,8.56,70,67.04
2020-11,BR0009,483.98,368.07,76.05,50.53,10.44,75,392.49
2020-12,BR0009,398.81,326.9,81.97,43.51,10.91,80,211.72
2021-01,BR0009,238.69,177.7,74.45,22.73,9.52,55,26.96
2021-02,BR0009,386.14,327.41,84.79,9.56,2.48,32,359.45
2021-03,BR0009,485.84,412.28,84.86,45.96,9.46,21,241.58
2021-04,BR0009,287.42,280.0,97.42,11.4,3.97,79,347.73
2021-05,BR0009,486.24,437.13,89.9,48.46,9.97,42,268.51
2021-06,BR0009,175.77,150.25,85.48,6.33,3.6,78,133.94
2021-07,BR0009,195.98,199.72,101.91,17.29,8.82,50,87.37
2021-08,BR0009,395.06,325.77,82.46,55.43,14.03,57,249.83
2021-09,BR0009,72.14,53.48,74.13,5.96,8.26,51,390.31
2021-10,BR0009,84.79,72.7,85.74,5.85,6.9,18,325.26
2021-11,BR0009,306.76,277.99,90.62,38.89,12.68,36,103.21
2021-12,BR0009,111.3,92.19,82.83,11.22,10.08,11,95.51
2022-01,BR0009,387.57,315.33,81.36,55.26,14.26,26,264.16
2022-02,BR0009,481.66,337.84,70.14,69.26,14.38,35,111.41
2022-03,BR0009,491.9,375.96,76.43,38.15,7.76,59,66.47
2022-04,BR0009,422.3,352.32,83.43,44.67,10.58,18,210.59
2022-05,BR0009,68.57,66.12,96.42,8.64,12.6,30,306.22
2022-06,BR0009,476.96,363.49,76.21,63.89,13.4,74,230.17
2022-07,BR0009,243.64,210.31,86.32,32.37,13.29,41,135.02
2022-08,BR0009,269.41,213.29,79.17,16.61,6.17,59,187.58
2022-09,BR0009,88.72,64.79,73.03,11.78,13.28,47,121.92
2022-10,BR0009,84.45,76.51,90.6,7.2,8.53,76,268.84
2022-11,BR0009,448.97,414.76,92.38,29.83,6.64,77,234.92
2022-12,BR0009,124.6,125.11,100.41,10.76,8.64,20,202.3
2023-01,BR0009,440.69,442.63,100.44,17.57,3.99,44,40.29
2023-02,BR0009,304.68,239.81,78.71,12.93,4.24,21,320.2
2023-03,BR0009,420.0,386.19,91.95,38.88,9.26,9,105.67
2023-04,BR0009,277.68,278.07,100.14,22.64,8.15,37,75.17
2023-05,BR0009,291.32,217.15,74.54,21.6,7.41,74,324.07
2023-06,BR0009,136.53,128.57,94.17,15.25,11.17,27,304.36
2023-07,BR0009,403.21,388.09,96.25,35.26,8.74,31,223.12
2023-08,BR0009,329.61,275.22,83.5,15.77,4.78,22,110.08
2023-09,BR0009,381.22,350.72,92.0,47.12,12.36,61,138.32
2023-10,BR0009,284.48,264.82,93.09,27.83,9.78,11,147.63
2023-11,BR0009,287.74,259.66,90.24,35.16,12.22,18,393.49
2023-12,BR0009,499.76,452.03,90.45,21.64,4.33,63,296.1
2024-01,BR0009,242.02,175.08,72.34,26.21,10.83,22,356.16
2024-02,BR0009,483.92,456.77,94.39,68.19,14.09,35,388.13
2024-03,BR0009,428.36,380.3,88.78,17.49,4.08,33,91.61
2024-04,BR0009,181.29,168.07,92.71,4.17,2.3,35,234.85
2024-05,BR0009,176.21,128.44,72.89,17.15,9.73,40,369.01
2024-06,BR0009,429.03,319.46,74.46,28.22,6.58,45,285.23
2024-07,BR0009,333.89,273.99,82.06,21.55,6.45,37,241.35
2024-08,BR0009,84.43,64.22,76.06,12.13,14.37,6,264.64
2024-09,BR0009,223.55,186.15,83.27,21.34,9.55,5,238.13
2024-10,BR0009,425.68,344.42,80.91,33.71,7.92,13,185.94
2024-11,BR0009,473.45,372.04,78.58,18.63,3.93,58,104.78
2024-12,BR0009,443.93,342.85,77.23,35.9,8.09,68,165.37
2020-01,BR0010,474.91,363.73,76.59,39.29,8.27,33,142.65
2020-02,BR0010,348.81,262.65,75.3,33.8,9.69,72,55.01
2020-03,BR0010,344.03,258.06,75.01,23.01,6.69,68,203.55
2020-04,BR0010,397.81,286.58,72.04,49.25,12.38,47,81.32
2020-05,BR0010,110.93,101.04,91.08,3.31,2.98,41,159.62
2020-06,BR0010,124.15,96.2,77.49,15.52,12.5,58,280.0
2020-07,BR0010,403.96,372.21,92.14,54.49,13.49,78,210.94
2020-08,BR0010,146.48,121.53,82.97,16.14,11.02,66,167.82
2020-09,BR0010,123.61,125.85,101.81,6.13,4.96,28,309.59
2020-10,BR0010,379.16,276.75,72.99,29.88,7.88,74,71.78
2020-11,BR0010,114.96,85.48,74.36,16.07,13.98,18,281.43
2020-12,BR0010,384.99,342.91,89.07,26.4,6.86,43,36.19
2021-01,BR0010,389.23,302.0,77.59,42.55,10.93,50,257.63
2021-02,BR0010,75.75,58.55,77.3,6.19,8.17,14,57.29
2021-03,BR0010,81.64,81.71,100.09,10.42,12.76,65,141.14
2021-04,BR0010,249.57,214.78,86.06,30.82,12.35,70,200.43
2021-05,BR0010,106.82,97.54,91.31,4.07,3.81,36,336.72
2021-06,BR0010,443.67,375.57,84.65,34.25,7.72,79,150.94
2021-07,BR0010,195.89,174.71,89.19,17.1,8.73,71,284.62
2021-08,BR0010,83.7,59.37,70.93,7.76,9.27,67,165.1
2021-09,BR0010,401.34,334.24,83.28,49.94,12.44,44,322.56
2021-10,BR0010,471.1,396.85,84.24,34.17,7.25,36,248.68
2021-11,BR0010,238.17,175.29,73.6,6.5,2.73,74,317.69
2021-12,BR0010,61.51,55.38,90.04,5.73,9.32,35,289.09
2022-01,BR0010,273.2,204.35,74.8,31.2,11.42,13,234.66
2022-02,BR0010,271.97,269.58,99.12,16.96,6.24,60,100.11
2022-03,BR0010,87.49,65.73,75.13,8.86,10.13,23,349.88
2022-04,BR0010,181.6,160.53,88.4,14.78,8.14,43,198.38
2022-05,BR0010,357.02,302.97,84.86,27.72,7.76,33,59.92
2022-06,BR0010,219.92,160.26,72.87,18.82,8.56,35,269.22
2022-07,BR0010,226.33,204.01,90.14,8.06,3.56,64,96.56
2022-08,BR0010,146.94,115.41,78.54,19.73,13.43,42,258.28
2022-09,BR0010,255.92,244.71,95.62,27.78,10.85,23,81.47
2022-10,BR0010,125.7,99.79,79.39,6.01,4.78,19,286.61
2022-11,BR0010,363.1,306.57,84.43,24.81,6.83,22,143.04
2022-12,BR0010,471.71,431.1,91.39,26.73,5.67,59,274.38
2023-01,BR0010,228.94,198.19,86.57,16.45,7.19,44,281.34
2023-02,BR0010,256.23,179.82,70.18,36.86,14.39,29,27.34
2023-03,BR0010,55.7,56.77,101.92,7.66,13.75,41,394.23
2023-04,BR0010,360.83,364.37,100.98,35.15,9.74,54,384.14
2023-05,BR0010,264.47,269.34,101.84,7.54,2.85,49,238.61
2023-06,BR0010,151.71,142.18,93.72,22.19,14.63,73,64.91
2023-07,BR0010,210.35,153.79,73.11,10.01,4.76,8,379.77
2023-08,BR0010,96.12,85.2,88.64,10.43,10.85,32,321.67
2023-09,BR0010,135.71,131.77,97.1,13.22,9.74,30,103.16
2023-10,BR0010,478.93,403.35,84.22,69.84,14.58,45,156.61
2023-11,BR0010,151.25,140.65,92.99,10.57,6.99,30,34.41
2023-12,BR0010,248.57,238.28,95.86,35.29,14.2,56,288.39
2024-01,BR0010,233.8,165.88,70.95,14.35,6.14,67,367.05
2024-02,BR0010,266.96,208.63,78.15,9.71,3.64,60,320.67
2024-03,BR0010,374.81,350.48,93.51,50.08,13.36,63,277.45
2024-04,BR0010,339.76,343.43,101.08,26.06,7.67,78,43.32
2024-05,BR0010,251.69,201.05,79.88,23.68,9.41,20,134.48
2024-06,BR0010,219.19,200.01,91.25,12.77,5.83,9,398.22
2024-07,BR0010,138.44,125.26,90.48,17.49,12.63,79,25.97
2024-08,BR0010,435.27,331.63,76.19,31.72,7.29,7,236.6
2024-09,BR0010,486.01,375.15,77.19,71.26,14.66,6,363.5
2024-10,BR0010,489.33,364.01,74.39,26.43,5.4,66,287.88
2024-11,BR0010,295.88,265.94,89.88,27.57,9.32,80,175.71
2024-12,BR0010,307.24,272.61,88.73,8.21,2.67,11,281.65
2020-01,BR0011,466.96,358.72,76.82,48.33,10.35,21,284.8
2020-02,BR0011,95.55,75.68,79.2,9.45,9.89,61,354.22
2020-03,BR0011,212.54,166.08,78.14,16.86,7.93,79,341.81
2020-04,BR0011,131.51,119.35,90.75,16.48,12.53,72,71.56
2020-05,BR0011,296.24,301.81,101.88,19.18,6.47,69,199.98
2020-06,BR0011,229.29,214.89,93.72,6.76,2.95,26,120.55
2020-07,BR0011,236.06,176.15,74.62,8.67,3.67,8,303.72
2020-08,BR0011,364.15,283.42,77.83,35.41,9.72,52,204.92
2020-09,BR0011,228.48,167.2,73.18,11.06,4.84,53,30.32
2020-10,BR0011,308.89,298.91,96.77,16.87,5.46,60,251.71
2020-11,BR0011,419.15,365.96,87.31,18.09,4.32,79,22.39
2020-12,BR0011,264.65,249.49,94.27,12.84,4.85,71,148.08
2021-01,BR0011,300.56,292.14,97.2,30.53,10.16,55,303.16
2021-02,BR0011,71.31,64.12,89.92,6.02,8.44,80,280.43
2021-03,BR0011,95.89,88.33,92.12,3.88,4.05,48,255.31
2021-04,BR0011,94.96,72.8,76.66,9.92,10.45,50,347.58
2021-05,BR0011,74.21,60.39,81.38,4.67,6.29,65,385.47
2021-06,BR0011,192.77,142.05,73.69,12.46,6.46,50,228.95
2021-07,BR0011,413.07,347.6,84.15,17.91,4.34,12,210.15
2021-08,BR0011,256.6,243.0,94.7,35.03,13.65,17,143.8
2021-09,BR0011,339.12,274.72,81.01,19.75,5.82,25,25.44
2021-10,BR0011,192.38,169.87,88.3,23.05,11.98,18,26.57
2021-11,BR0011,249.34,221.94,89.01,20.72,8.31,76,257.01
2021-12,BR0011,314.19,304.04,96.77,34.06,10.84,68,137.16
2022-01,BR0011,100.4,80.6,80.28,8.07,8.04,49,79.9
2022-02,BR0011,71.89,56.32,78.34,3.87,5.38,35,131.79
2022-03,BR0011,67.03,51.83,77.33,8.81,13.14,11,23.85
2022-04,BR0011,326.96,313.85,95.99,26.47,8.1,39,301.11
2022-05,BR0011,425.28,397.85,93.55,33.85,7.96,20,312.34
2022-06,BR0011,416.66,355.04,85.21,54.75,13.14,35,34.47
2022-07,BR0011,445.01,419.82,94.34,55.26,12.42,47,189.29
2022-08,BR0011,482.53,384.09,79.6,67.79,14.05,10,65.37
2022-09,BR0011,83.03,83.4,100.44,6.22,7.49,49,333.26
2022-10,BR0011,237.19,175.62,74.04,21.56,9.09,58,131.74
2022-11,BR0011,118.46,119.41,100.8,13.33,11.25,56,276.23
2022-12,BR0011,110.32,112.12,101.63,6.39,5.79,45,250.69
2023-01,BR0011,302.3,274.28,90.73,21.11,6.98,13,139.05
2023-02,BR0011,332.08,279.94,84.3,30.95,9.32,65,104.55
2023-03,BR0011,269.7,243.49,90.28,11.11,4.12,13,83.13
2023-04,BR0011,268.84,195.98,72.9,13.21,4.91,7,154.87
2023-05,BR0011,78.81,73.73,93.55,9.21,11.69,6,316.93
2023-06,BR0011,254.42,202.93,79.76,17.65,6.94,77,323.08
2023-07,BR0011,64.09,63.72,99.42,3.04,4.74,35,260.75
2023-08,BR0011,316.33,292.73,92.54,8.69,2.75,25,199.17
2023-09,BR0011,259.25,188.37,72.66,28.69,11.07,34,223.37
2023-10,BR0011,115.7,105.9,91.53,2.36,2.04,44,238.95
2023-11,BR0011,301.01,224.82,74.69,18.27,6.07,52,47.98
2023-12,BR0011,117.81,104.58,88.77,3.43,2.91,26,356.98
2024-01,BR0011,465.25,459.95,98.86,50.24,10.8,30,335.08
2024-02,BR0011,199.63,191.84,96.1,10.56,5.29,69,204.07
2024-03,BR0011,453.1,389.21,85.9,46.3,10.22,79,373.49
2024-04,BR0011,179.56,179.51,99.97,15.83,8.82,80,312.5
2024-05,BR0011,79.9,71.95,90.05,11.52,14.42,44,343.04
2024-06,BR0011,184.24,182.1,98.84,5.57,3.02,11,177.02
2024-07,BR0011,439.83,393.91,89.56,47.86,10.88,49,53.24
2024-08,BR0011,369.76,293.48,79.37,14.39,3.89,67,79.48
2024-09,BR0011,76.84,62.89,81.85,2.73,3.55,52,399.57
2024-10,BR0011,420.87,402.52,95.64,11.13,2.64,12,191.22
2024-11,BR0011,461.65,466.77,101.11,48.23,10.45,50,267.1
2024-12,BR0011,429.75,388.92,90.5,36.63,8.52,18,397.04
2020-01,BR0012,497.09,458.71,92.28,49.26,9.91,46,82.03
2020-02,BR0012,241.02,215.95,89.6,31.8,13.19,43,165.91
2020-03,BR0012,320.41,227.62,71.04,45.89,14.32,72,87.54
2020-04,BR0012,146.3,148.98,101.83,18.65,12.75,55,398.81
2020-05,BR0012,410.02,290.7,70.9,42.15,10.28,17,207.26
2020-06,BR0012,170.28,124.64,73.2,8.4,4.93,76,35.66
2020-07,BR0012,137.13,98.19,71.6,14.33,10.45,17,153.8
2020-08,BR0012,322.91,291.59,90.3,7.94,2.46,80,306.59
2020-09,BR0012,353.0,292.46,82.85,36.32,10.29,25,391.18
2020-10,BR0012,192.45,188.79,98.1,28.58,14.85,28,309.7
2020-11,BR0012,391.6,346.61,88.51,47.19,12.05,17,156.54
2020-12,BR0012,176.51,143.4,81.24,11.16,6.32,47,293.9
2021-01,BR0012,467.93,352.26,75.28,12.93,2.76,75,206.53
2021-02,BR0012,208.02,163.44,78.57,27.79,13.36,30,226.95
2021-03,BR0012,431.53,315.53,73.12,35.35,8.19,73,257.43
2021-04,BR0012,146.43,141.66,96.74,6.94,4.74,34,104.04
2021-05,BR0012,396.59,285.66,72.03,14.92,3.76,15,330.35
2021-06,BR0012,384.92,315.98,82.09,45.81,11.9,22,282.01
2021-07,BR0012,106.89,97.39,91.11,9.03,8.45,6,85.34
2021-08,BR0012,124.49,87.22,70.06,12.09,9.71,38,286.19
2021-09,BR0012,305.72,234.27,76.63,17.97,5.88,22,111.43
2021-10,BR0012,230.25,183.53,79.71,30.58,13.28,10,384.56
2021-11,BR0012,83.94,80.52,95.92,10.53,12.54,15,269.12
2021-12,BR0012,445.97,406.28,91.1,56.21,12.6,24,314.55
2022-01,BR0012,67.86,48.59,71.6,5.24,7.72,6,157.83
2022-02,BR0012,320.5,293.58,91.6,39.03,12.18,15,347.1
2022-03,BR0012,86.16,74.51,86.48,11.13,12.92,78,314.16
2022-04,BR0012,234.64,177.51,75.65,29.3,12.49,41,387.1
2022-05,BR0012,416.77,325.96,78.21,47.88,11.49,23,229.06
2022-06,BR0012,304.41,278.32,91.43,36.16,11.88,80,284.85
2022-07,BR0012,61.7,45.41,73.59,4.02,6.52,79,190.24
2022-08,BR0012,429.03,300.79,70.11,47.84,11.15,50,350.88
2022-09,BR0012,307.35,310.92,101.16,18.65,6.07,50,288.47
2022-10,BR0012,435.76,341.42,78.35,49.72,11.41,80,277.62
2022-11,BR0012,337.65,312.36,92.51,7.71,2.28,41,101.23
2022-12,BR0012,303.89,289.79,95.36,19.04,6.27,40,109.15
2023-01,BR0012,300.75,281.35,93.55,32.83,10.92,38,71.96
2023-02,BR0012,196.74,190.58,96.87,26.58,13.51,71,229.35
2023-03,BR0012,127.5,115.46,90.56,7.6,5.96,6,398.69
2023-04,BR0012,226.52,213.54,94.27,21.64,9.55,34,300.11
2023-05,BR0012,118.33,103.7,87.64,15.45,13.06,25,164.18
2023-06,BR0012,113.21,100.16,88.47,10.12,8.94,35,366.78
2023-07,BR0012,365.88,331.96,90.73,43.59,11.91,42,130.06
2023-08,BR0012,336.49,260.88,77.53,25.61,7.61,37,56.56
2023-09,BR0012,111.91,79.77,71.28,13.25,11.84,64,159.31
2023-10,BR0012,82.24,80.31,97.65,2.4,2.92,59,26.95
2023-11,BR0012,337.89,298.9,88.46,33.19,9.82,21,67.59
2023-12,BR0012,314.66,255.76,81.28,32.01,10.17,40,363.29
2024-01,BR0012,248.34,175.45,70.65,26.12,10.52,7,76.19
2024-02,BR0012,122.11,91.99,75.33,12.4,10.15,73,187.64
2024-03,BR0012,311.15,219.24,70.46,23.89,7.68,32,390.48
2024-04,BR0012,265.32,214.91,81.0,21.52,8.11,34,50.31
2024-05,BR0012,405.37,358.27,88.38,28.62,7.06,22,313.19
2024-06,BR0012,142.93,143.36,100.3,16.15,11.3,51,393.42
2024-07,BR0012,492.03,411.48,83.63,59.16,12.02,16,341.73
2024-08,BR0012,188.13,156.45,83.16,19.23,10.22,33,246.83
2024-09,BR0012,432.73,421.44,97.39,33.28,7.69,25,182.42
2024-10,BR0012,193.45,180.51,93.31,15.86,8.2,52,339.5
2024-11,BR0012,461.04,453.43,98.35,54.44,11.81,78,289.2
2024-12,BR0012,447.18,350.77,78.44,52.08,11.65,32,361.27
2020-01,BR0013,388.56,378.19,97.33,42.19,10.86,64,61.67
2020-02,BR0013,300.25,211.14,70.32,20.94,6.97,41,248.78
2020-03,BR0013,152.06,127.5,83.85,7.39,4.86,27,232.91
2020-04,BR0013,69.46,68.93,99.24,4.42,6.36,28,309.46
2020-05,BR0013,366.9,333.07,90.78,45.27,12.34,51,227.94
2020-06,BR0013,228.96,205.58,89.79,10.63,4.64,56,362.04
2020-07,BR0013,114.48,86.05,75.17,11.88,10.38,19,61.18
2020-08,BR0013,162.36,150.88,92.93,11.16,6.87,31,206.57
2020-09,BR0013,365.1,361.38,98.98,24.62,6.74,16,311.38
2020-10,BR0013,105.87,101.29,95.67,11.05,10.44,20,51.74
2020-11,BR0013,206.84,205.66,99.43,8.13,3.93,54,222.01
2020-12,BR0013,148.55,138.79,93.43,4.22,2.84,80,209.41
2021-01,BR0013,206.97,180.31,87.12,17.42,8.42,77,390.57
2021-02,BR0013,144.72,125.95,87.03,12.11,8.37,58,297.23
2021-03,BR0013,452.61,434.46,95.99,41.14,9.09,29,82.52
2021-04,BR0013,191.84,159.86,83.33,28.6,14.91,34,57.22
2021-05,BR0013,443.69,371.28,83.68,28.55,6.43,6,327.61
2021-06,BR0013,197.48,159.6,80.82,4.26,2.16,41,44.11
2021-07,BR0013,223.27,167.79,75.15,10.29,4.61,6,59.29
2021-08,BR0013,411.73,311.8,75.73,47.35,11.5,34,351.26
2021-09,BR0013,291.15,225.58,77.48,27.83,9.56,12,53.46
2021-10,BR0013,290.92,275.12,94.57,40.32,13.86,10,112.45
2021-11,BR0013,234.39,204.25,87.14,28.52,12.17,23,323.92
2021-12,BR0013,322.58,263.55,81.7,35.67,11.06,42,121.23
2022-01,BR0013,198.36,181.26,91.38,27.52,13.87,28,391.92
2022-02,BR0013,148.74,125.36,84.28,9.66,6.49,21,145.67
2022-03,BR0013,129.21,127.97,99.04,5.39,4.17,65,269.2
2022-04,BR0013,63.16,47.76,75.62,8.27,13.09,60,213.01
2022-05,BR0013,245.66,222.54,90.59,23.39,9.52,75,37.75
2022-06,BR0013,177.27,138.94,78.38,13.41,7.56,8,246.94
2022-07,BR0013,58.01,56.51,97.42,7.18,12.38,39,301.02
2022-08,BR0013,52.92,45.58,86.13,1.91,3.61,60,332.19
2022-09,BR0013,464.9,441.89,95.05,44.02,9.47,60,228.74
2022-10,BR0013,140.8,125.35,89.03,7.03,4.99,44,238.86
2022-11,BR0013,207.22,190.46,91.91,16.35,7.89,80,77.8
2022-12,BR0013,469.96,339.64,72.27,19.99,4.25,71,211.77
2023-01,BR0013,194.3,194.81,100.26,18.95,9.75,39,240.42
2023-02,BR0013,69.48,69.94,100.66,6.85,9.86,50,89.17
2023-03,BR0013,368.46,268.94,72.99,13.04,3.54,52,126.28
2023-04,BR0013,107.3,103.82,96.76,2.24,2.09,45,35.18
2023-05,BR0013,377.3,374.7,99.31,19.9,5.27,60,287.53
2023-06,BR0013,257.36,207.23,80.52,26.7,10.37,65,267.28
2023-07,BR0013,218.71,171.18,78.27,15.02,6.87,25,229.48
2023-08,BR0013,379.71,279.28,73.55,48.14,12.68,77,86.6
2023-09,BR0013,424.96,346.94,81.64,25.3,5.95,36,110.51
2023-10,BR0013,256.11,256.34,100.09,8.46,3.3,76,73.59
2023-11,BR0013,267.17,206.12,77.15,33.45,12.52,9,308.27
2023-12,BR0013,289.29,206.58,71.41,5.79,2.0,70,272.33
2024-01,BR0013,112.76,91.2,80.88,12.88,11.42,15,256.91
2024-02,BR0013,152.39,112.89,74.08,8.03,5.27,59,243.13
